Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
Advantech Industries Inc.,Manufacturing and Fabrication Srvcs.,Precision Manufacturing; Welding,www.advantechindustries.com/,USA,New York,Rochester,3850 Buffalo Road,,14624,,,,"Advantech Industries operates a full-service CNC machining, sheet metal fabrication and assembly facility in Rochester, NY. Provides contract manufacturer services ranging from build-to-print metal component parts and assemblies to contracts for the defense, medical, aerospace, power generation, communication and electronics industries.",,POINT (-77.76169 43.13782)
AE Rosen Electrical Co. Inc.,Onshore Construction Services,Electrical Works (Electrician),www.aerosenelectrical.com/,USA,New York,Albany,178 Catherine Street,,12202,,,,"AE Rosen Electrical Co. Inc. is an electrical contractor specializing in commercial, industrial, maintenance and large-scale residential electrical construction, as well as primary electrical installs and low-voltage systems including fire alarm, telecom, closed-circuit television (CCTV), nurse call, security, card access and intercom.",,POINT (-73.76688 42.6437)
AECOM,Consulting Services,Engineering (Electrical); Engineering (Civil); Project Management; Asset Management;,www.aecom.com,USA,New York,New York,100 Park Avenue,,10017,Chris,Hanson,,"AECOM is an American multinational engineering firm that provides design, engineering, construction, and management services, for projects from high-performance buildings and infrastructure, to resilient communities and environments, to stable and secure nations. AECOM has 4 segments: Design and Consulting Services (DCS), Management Services (MS), Construction Services (CS) and AECOM Capital, the investment arm of AECOM that invests in and manages the development of real estate, public or private partnerships and infrastructure projects.",,POINT (-73.97848 40.7512)
Aegir Wind Solutions LLC,Consulting Services,"Business Advisory,Consultancy Company Partnership,Engineering (Electrical),Engineering (Mechanical),Engineering (Offshore Wind),Feasibility Studies,Heavy Lift Consulting,Market Intelligence,Marketing Consulting,O&M Consulting Services,Other Renewable Energy Consulting,Project Management,Strategic Advisory,Technical Testing and Validation,Verification and Compliance",aegirwind.com,USA,New York,New York,300 Park Avenue,,10022,Alexander,Thillerup,Alexander@aegirwind.com,"Aegir Wind's approach is to combine the best practices and technologies from Europe with local US knowledge and expertise. In that spirit, we are partnering with local companies to bring unique and customized services to Developers, OEMs & Wind Suppliers. Our services include: Creation of virtual management offices for Developers; defining programs and managing suppliers to ensure the quality and timely execution of projects;  Local contract and project fulfillment for OEMs plus building and maintaining a localized supply chain; Establishing European partnerships and bringing in technical expertise to US suppliers looking to enter the Offshore Wind industry; Acting as manufacturer's representative in business development and local project execution for overseas wind companies.",No,POINT (-73.97428 40.75687)
Aegir Wind Solutions LLC,Manufactured Products,"Back-up Power and UPS,Battery Energy Storage Systems,Bearings,Composite Materials,Construction Tools,Cranes and Lifting Equipment,Doors and Hatches,Electro-mechanical Products,Electronics Products,Internal Cabling,Lifts,Lighting,Low-voltage Electrical Components,Navigation Aids,O&M Tools,Other Manufactured Products,Plastics,Power Cables and Fittings,Security Systems,Sensor Systems,Sheet Metal,Switchgear,Tower Internals,Turbine Blades,Wind Turbines",aegirwind.com,USA,New York,New York,300 Park Avenue,,10022,Alexander,Thillerup,Alexander@aegirwind.com,"Aegir Wind's approach is to combine the best practices and technologies from Europe with local US knowledge and expertise. In that spirit, we are partnering with local companies to bring unique and customized services to Developers, OEMs & Wind Suppliers. Our services include: Creation of virtual management offices for Developers; defining programs and managing suppliers to ensure the quality and timely execution of projects;  Local contract and project fulfillment for OEMs plus building and maintaining a localized supply chain; Establishing European partnerships and bringing in technical expertise to US suppliers looking to enter the Offshore Wind industry; Acting as manufacturer's representative in business development and local project execution for overseas wind companies.",No,POINT (-73.97428 40.75687)
Aegir Wind Solutions LLC,Manufacturing and Fabrication Srvcs.,"Coating,Composites Manufacturing,Electricals,Injection Moulding,Machining,Manufacturer's Supply Chain,Manufacturing Company Partnership,Plastics Manufacturing,Precision Manufacturing,Product Design,Sheet Metal Working,Supply Chain Management",aegirwind.com,USA,New York,New York,300 Park Avenue,,10022,Alexander,Thillerup,Alexander@aegirwind.com,"Aegir Wind's approach is to combine the best practices and technologies from Europe with local US knowledge and expertise. In that spirit, we are partnering with local companies to bring unique and customized services to Developers, OEMs & Wind Suppliers. Our services include: Creation of virtual management offices for Developers; defining programs and managing suppliers to ensure the quality and timely execution of projects;  Local contract and project fulfillment for OEMs plus building and maintaining a localized supply chain; Establishing European partnerships and bringing in technical expertise to US suppliers looking to enter the Offshore Wind industry; Acting as manufacturer's representative in business development and local project execution for overseas wind companies.",No,POINT (-73.97428 40.75687)
AH Harris & Sons Inc,Manufacturing and Fabrication Srvcs.,Manufacturer's Supply Chain,www.ahharris.com,USA,New York,Henrietta,1140 Lehigh Station Road,,14467,Duane,Davenport,,Supplier of formwork and shoring for concrete construction,,POINT (-77.63617 43.05977)
"Ahern Painting Contractors, Inc.",Onshore Construction Services,Painting (Construction),n/a,USA,New York,Port Washington,"2 Seaview Blvd., Suite 300",,11050,Kieran,Ahern,kieran@aherncontractors.com,"Ahern Painting, through its historical performance of work in the region has great experience in working on industrial structures. Projects have included lead abatement and painting utilizing specialized rigging procedures and state of the art containment's and equipment, removal of lead waste, sounding and removal of concrete, structural steel repairs, removal and replacement of bearings, oiling of Suspension Bridge Main Cable, removal and replacement of suspender ropes and rewrapping of main cables, repair of concrete structures and roadways and provision of maintenance and protection of traffic.  Ahern is a SSPC QP?1/QP?2 Certified and is a signatory contractor with many construction unions in NYC, who does a majority of their work with Local Union 806 (Bridge Painters).",No,POINT (-73.65721 40.815)
"AI Systems, Inc.",Manufactured Products,"Cable Protection Systems,Composite Materials,Grouts or Sealing Systems",www.advancedinsulation.com,USA,Texas,Houston,11490 Westheimer Road,,77077,Mike,Sherman,mike.sherman@aisplc.com,"AI Systems, Inc. is an established global leader in the engineering, manufacture and application of insulation and passive fire protection systems, buoyancy and SURF products (subsea, umbilicals, risers and flowlines) to the offshore and onshore oil and gas industry. Our newest venture will take us into the world of Offshore Renewable Wind Energy with continued focus on creating engineered solutions that deliver returns on stakeholder investment.",No,POINT (-95.58018 29.73746)
"AKRF, Inc.",Consulting Services,"Environmental Consulting,Regulatory Consulting",www.akrf.com,USA,New York,New York,"440 Park Avenue South, 7th Floor",,10016,Jeffrey,Taub,jtaub@akrf.com,"Founded in 1981, over 350 planners, engineers, and scientists at AKRF, Inc. draw on a wide range of professional specialties to develop real-world solutions for energy, transportation, real estate, and water clients. Offices are located throughout New York, New Jersey, Pennsylvania, Maryland, and Ohio, and the company completes projects around the country.  AKRF is contributing to a variety of green and renewable energy projects throughout the eastern United States, including offshore wind, solar, battery storage, fuel cell, and biogas projects. We are considered among the consultants of choice to tackle a wide range of complex, controversial, and time-sensitive energy projects â€” and deliver solutions with substantial, measurable value.",No,POINT (-73.98333 40.7444)
